Date,Confirmed,Cured,Deaths
30/01/20,1,0,0
31/01/20,1,0,0
01/02/20,1,0,0
02/02/20,2,0,0
03/02/20,3,0,0
04/02/20,3,0,0
05/02/20,3,0,0
06/02/20,3,0,0
07/02/20,3,0,0
08/02/20,3,0,0
09/02/20,3,0,0
10/02/20,3,0,0
11/02/20,3,0,0
12/02/20,3,0,0
13/02/20,3,0,0
14/02/20,3,0,0
15/02/20,3,0,0
16/02/20,3,0,3
17/02/20,3,0,3
18/02/20,3,0,3
19/02/20,3,0,3
20/02/20,3,0,3
21/02/20,3,0,3
22/02/20,3,0,3
23/02/20,3,0,3
24/02/20,3,0,3
25/02/20,3,0,3
26/02/20,3,0,3
27/02/20,3,0,3
28/02/20,3,0,3
29/02/20,3,0,3
01/03/20,3,0,3
02/03/20,5,0,3
03/03/20,5,0,3
04/03/20,28,0,3
05/03/20,30,0,3
06/03/20,31,0,3
07/03/20,34,0,3
08/03/20,39,0,3
09/03/20,43,0,3
10/03/20,56,0,4
11/03/20,62,1,4
12/03/20,73,1,4
13/03/20,82,2,4
14/03/20,102,2,4
15/03/20,113,2,13
16/03/20,119,2,13
17/03/20,142,3,14
18/03/20,156,3,14
19/03/20,194,4,15
20/03/20,244,5,20
21/03/20,330,4,23
22/03/20,396,7,24
23/03/20,499,10,34
24/03/20,536,10,40
25/03/20,657,12,43
26/03/20,727,20,45
27/03/20,887,20,73
28/03/20,987,24,84
29/03/20,1024,27,95
30/03/20,1251,32,102
31/03/20,1251,32,102
01/04/20,1397,35,123
02/04/20,1998,58,148
03/04/20,2543,72,191
04/04/20,2567,72,192
05/04/20,3082,86,229
06/04/20,3588,99,229
07/04/20,4778,136,375
08/04/20,5311,150,421
09/04/20,5916,178,506
10/04/20,6725,226,620
11/04/20,7598,246,774
12/04/20,8446,288,969
13/04/20,9205,331,1080
14/04/20,10453,358,1181
15/04/20,11487,393,1359
